location,title,name
Kotte,"Mathematics, Chemistry, Physics cambridge, edexcel O/L and Chemistry AS, AL",Ms. Dasuni Perera
Colombo,Learn Advanced Level Chemistry from a University Lecturer who participating for advanced level paper marking,Ms. Anuradha Waradaththa
Gampaha,Learn Advanced Level Chemistry from a University Lecturer who participating for advanced level paper marking,Ms. Anuradha Waradaththa
Kalutara,Learn Advanced Level Chemistry from a University Lecturer who participating for advanced level paper marking,Ms. Anuradha Waradaththa
Bandaragama,Chemistry Theory & Questions,Ms. Manoji Kanuwana
Horana,Chemistry Theory & Questions,Ms. Manoji Kanuwana
Panadura,Chemistry Theory & Questions,Ms. Manoji Kanuwana
Pokunuwita,Chemistry Theory & Questions,Ms. Manoji Kanuwana
Ragama,Chemistry Theory & Questions,Ms. Manoji Kanuwana
Colombo 3,"Cambridge / Edexcel A/L, O/L (Theory/ Revision/ Paper) Physics, Biology, Chemistry, Mathematics(Pure/Further/Mechanics/Statistics), English.",Mr. Rajitha Malinda
Colombo 4,"Cambridge / Edexcel A/L, O/L (Theory/ Revision/ Paper) Physics, Biology, Chemistry, Mathematics(Pure/Further/Mechanics/Statistics), English.",Mr. Rajitha Malinda
Colombo 5,"Cambridge / Edexcel A/L, O/L (Theory/ Revision/ Paper) Physics, Biology, Chemistry, Mathematics(Pure/Further/Mechanics/Statistics), English.",Mr. Rajitha Malinda
Colombo 6,"Cambridge / Edexcel A/L, O/L (Theory/ Revision/ Paper) Physics, Biology, Chemistry, Mathematics(Pure/Further/Mechanics/Statistics), English.",Mr. Rajitha Malinda
Colombo 7,"Cambridge / Edexcel A/L, O/L (Theory/ Revision/ Paper) Physics, Biology, Chemistry, Mathematics(Pure/Further/Mechanics/Statistics), English.",Mr. Rajitha Malinda
Kegalle,Advanced Level Chemistry | English & Sinhala Medium,Mr. Champika Meghasooriya
Battaramulla,Advanced Level Chemistry | English & Sinhala Medium,Mr. Champika Meghasooriya
Maharagama,Advanced Level Chemistry | English & Sinhala Medium,Mr. Champika Meghasooriya
Nugegoda,Advanced Level Chemistry | English & Sinhala Medium,Mr. Champika Meghasooriya
Moratuwa,2025 GCE A/L Chemistry & Physics,Mr. Pradeep Ratnayake
Colombo 6,CHEMISTRY ADVANCED LEVEL ENGLISH MEDIUM SINHALA MEDIUM,Mr. CHATHURA RANABA
Nugegoda,CHEMISTRY ADVANCED LEVEL ENGLISH MEDIUM SINHALA MEDIUM,Mr. CHATHURA RANABA
Maharagama,CHEMISTRY ADVANCED LEVEL ENGLISH MEDIUM SINHALA MEDIUM,Mr. CHATHURA RANABA
Homagama,CHEMISTRY ADVANCED LEVEL ENGLISH MEDIUM SINHALA MEDIUM,Mr. CHATHURA RANABA
Pannipitiya,CHEMISTRY ADVANCED LEVEL ENGLISH MEDIUM SINHALA MEDIUM,Mr. CHATHURA RANABA
Pannipitiya,Chemistry A සිහිනයේ බලාපොරොත්තුව,Mr. Sithira Harischandra
Gampaha,GCE A/L 2025 Chemistry Tuition - English Medium,Mr. Rakhitha Kaluthanthri
Nugegoda,GCE A/L 2025 Chemistry Tuition - English Medium,Mr. Rakhitha Kaluthanthri
Colombo 5,GCE A/L 2025 Chemistry Tuition - English Medium,Mr. Rakhitha Kaluthanthri
Horana,CHEMISTRY PAPER CLASS 2023 A/L,Mr. Aruna Prasad
Bandaragama,CHEMISTRY PAPER CLASS 2023 A/L,Mr. Aruna Prasad
Panadura,CHEMISTRY PAPER CLASS 2023 A/L,Mr. Aruna Prasad
Polgasowita,CHEMISTRY PAPER CLASS 2023 A/L,Mr. Aruna Prasad
Galle,"A/L Combined mathematics, Chemistry & O/L Mathematics, Science classes in Sinhala/English medium",Ms. Thenushi Premanath
Hikkaduwa,"A/L Combined mathematics, Chemistry & O/L Mathematics, Science classes in Sinhala/English medium",Ms. Thenushi Premanath
Hapugala,"A/L Combined mathematics, Chemistry & O/L Mathematics, Science classes in Sinhala/English medium",Ms. Thenushi Premanath
Karapitiya,"A/L Combined mathematics, Chemistry & O/L Mathematics, Science classes in Sinhala/English medium",Ms. Thenushi Premanath
Gonapinuwala,"A/L Combined mathematics, Chemistry & O/L Mathematics, Science classes in Sinhala/English medium",Ms. Thenushi Premanath
Makola,A/L Chemistry & O/L Mathematics and Science (Sinhala Medium),Mr. Pasan Katugampala
Kelaniya,A/L Chemistry & O/L Mathematics and Science (Sinhala Medium),Mr. Pasan Katugampala
Kiribathgoda,A/L Chemistry & O/L Mathematics and Science (Sinhala Medium),Mr. Pasan Katugampala
Kadawatha,A/L Chemistry & O/L Mathematics and Science (Sinhala Medium),Mr. Pasan Katugampala
Ragama,A/L Chemistry & O/L Mathematics and Science (Sinhala Medium),Mr. Pasan Katugampala
Mawathagama,Chemistry Revision for Advance Level,Mr. Udayanga Muhandiram
Katugastota,Chemistry Revision for Advance Level,Mr. Udayanga Muhandiram
Kurunegala,Chemistry Revision for Advance Level,Mr. Udayanga Muhandiram
Kandy,Chemistry Revision for Advance Level,Mr. Udayanga Muhandiram
Colombo 3,Cambridge / Edexcel Chemistry Tuition Class,Mr. Divulan Ananthabalan
Colombo 4,Cambridge / Edexcel Chemistry Tuition Class,Mr. Divulan Ananthabalan
Colombo 5,Cambridge / Edexcel Chemistry Tuition Class,Mr. Divulan Ananthabalan
Colombo 6,Cambridge / Edexcel Chemistry Tuition Class,Mr. Divulan Ananthabalan
Colombo 7,Cambridge / Edexcel Chemistry Tuition Class,Mr. Divulan Ananthabalan
Gampaha,Chemistry for Advanced Level (Sinhala/ English mediums),Mrs. Deshani Samarawikrama
Nugegoda,A/L Chemistry (Home visit/physical/online classes for individuals & groups) in Sinhala medium,Mr. Thilina Hemachandra
