location,count
Akuregoda,1
Akuressa,1
Aladeniya,1
Alawwa,1
Alutgama,1
Ambalangoda,2
Ambalantota,1
Ampara,1
Ampitiya,1
Aniwatta,1
Anuradhapura,1
Asgiriya,1
Athurugiriya,12
Avissawella,4
Balagolla,1
Balangoda,1
Bandaragama,2
Battaramulla,13
Bellanwila,4
Benthara,1
Biyagama,2
Bokundara,1
Boralesgamuwa,4
Buttala,1
Colombo,3
Colombo 1,2
Colombo 13,1
Colombo 15,1
Colombo 2,1
Colombo 3,6
Colombo 4,4
Colombo 5,8
Colombo 6,7
Colombo 7,5
Dalugama,1
Dehiwala,3
Deiyandara,1
Delgoda,1
Digana,2
Dikwella,1
Divulapitiya,1
Dombagahawela,1
Ethul Kotte,2
Galigamuwa,1
Galle,2
Gampaha,9
Ganemulla,1
Gangodawilla,2
Gonapinuwala,1
GonawalaWP,1
Hakmana,1
Hapugala,1
Hikkaduwa,1
Homagama,6
Horana,3
Horapawita,1
Ja-Ela,2
Kadawatha,3
Kaduwela,3
Kalutara,4
Kandana,1
Kandy,5
Karapitiya,1
Katugastota,1
Kegalle,2
Kelaniya,5
Kesbewa,1
Kiribathgoda,4
Kohuwala,2
Kolonnawa,1
Kotadeniyawa,1
Kotiyakumbura,1
Kottawa,3
Kotte,1
Kundasale,1
Kurunegala,4
Maharagama,9
Makola,1
Malabe,5
Mawathagama,1
Mirigama,1
Mirihana,1
Moratuwa,3
Mount Lavinia,2
Negombo,2
Nugegoda,18
Padukka,1
Paiyagala,1
Panadura,6
Pannipitiya,2
Peliyagoda,1
Pepiliyana,1
Piliyandala,3
Pokunuwita,1
Polgasowita,1
Ragama,2
Rambukkana,1
Ratmalana,2
Thettativu,1
Thimbirigasyaya,1
Warakapola,1
Wellawatte,2
Yatinuwara,1
